month,transaction_count,to_address,from_address,artifact_name,project_name,to_address_rawscore,from_address_rawscore
2024-08,1,0xe67192302e444a8d28f60f6737a8bc7c672b8ac6,0x7c4c5eeb4d2c113fcabb264595c8b5e9c022efc4,0xe67192302e444a8d28f60f6737a8bc7c672b8ac6,hvax,,5.669
2024-08,1,0x85ba183fb4c16d435b076dde459dafc8eff864d8,0xe9e50a37a56b672cea34b5b43510aa74e73a2fd4,0x85ba183fb4c16d435b076dde459dafc8eff864d8,arbilearn-aliveevie,17.18,
2024-04,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x3eb2f9217fd12cc1eebab15864696ffc417abc9b,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,3.317
2024-04,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0xf3b5a1ff3e2157368adfc69c466fa51309efbf11,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-06,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x44242d170a0128b1284cace27871d763b9b8eabf,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,6.365
2024-04,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x7835a9a3c46c233aa910e3adad384112562603f9,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-04,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x44242d170a0128b1284cace27871d763b9b8eabf,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,6.365
2024-04,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0xf5fc0ca24851ad26c0fff48ff10f4645dd0bf8c7,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,3.07
2024-06,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x3487ad22e0b30aed4c6bff401c855e831cbc1fd3,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-07,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0xc6c7382414cc2197b0a8f423952e8b6a354d7f33,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,20.386
2024-06,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0xe2acd73bbfd30d3191ebc2234cd81794795cf86c,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-06,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0xe6a78d80f4ec540a4be8c414f2adef47cb98b02a,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-09,1,0x0442a9abbc93058a873c371f21cc366338254a88,0x64e09d9f25d4eb6dd289181a095e680251213bb8,0x0442a9abbc93058a873c371f21cc366338254a88,urbanika,0,
2024-05,1,0x31fe56609c65cd0c510e7125f051d440424d38f3,0x333e8aa11c2d6f0128d79a271f11d39059c5b8dd,0x31fe56609c65cd0c510e7125f051d440424d38f3,umbra-scopelift,,
2024-05,1,0x31fe56609c65cd0c510e7125f051d440424d38f3,0xbbe2bef9a87ace026c1894708693c950087a3926,0x31fe56609c65cd0c510e7125f051d440424d38f3,umbra-scopelift,,21.873
2024-05,1,0x31fe56609c65cd0c510e7125f051d440424d38f3,0x81a36aee1a841ed808393c33ef53f51cd1a9703a,0x31fe56609c65cd0c510e7125f051d440424d38f3,umbra-scopelift,,16.006
2024-08,1,0x6cc567128e8cae88dbe162e712cd0985d78b0f33,0xe9e50a37a56b672cea34b5b43510aa74e73a2fd4,0x6cc567128e8cae88dbe162e712cd0985d78b0f33,ethdailyhub,,
2024-07,2,0x2b8c610f3fc6f883817637d15514293565c3d08a,0x9531c059098e3d194ff87febb587ab07b30b1306,0x9531c059098e3d194ff87febb587ab07b30b1306,rotki,,
2024-06,3,0x2b8c610f3fc6f883817637d15514293565c3d08a,0x9531c059098e3d194ff87febb587ab07b30b1306,0x9531c059098e3d194ff87febb587ab07b30b1306,rotki,,
2024-08,3,0x2b8c610f3fc6f883817637d15514293565c3d08a,0x9531c059098e3d194ff87febb587ab07b30b1306,0x9531c059098e3d194ff87febb587ab07b30b1306,rotki,,
2024-08,1,0x4f604735c1cf31399c6e711d5962b2b3e0225ad3,0x9531c059098e3d194ff87febb587ab07b30b1306,0x9531c059098e3d194ff87febb587ab07b30b1306,rotki,,
2024-06,1,0x4f604735c1cf31399c6e711d5962b2b3e0225ad3,0x9531c059098e3d194ff87febb587ab07b30b1306,0x9531c059098e3d194ff87febb587ab07b30b1306,rotki,,
2024-04,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x9e75714a7c01ca76d3ace0ff043b3d8f5cbae563,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,4.21
