project_id,project_source,project_namespace,project_name,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
6BhTPLQyecujvC1WJnhgXtjVDPoxZbRyI-q6FvL2Yaw=,OSS_DIRECTORY,oso,sherlock-protocol,Sherlock,GITHUB,18,2021-06-05 08:14:16+00:00,2024-09-13 13:24:01+00:00,293,61,14.0,8.0,1.0,0.0,7.0,140.0,37.0,24.0,0.0,0.0
rfvI7XadOLswLI0GpJuVe0rSm5S4tKowYxej0Cg_cBs=,OSS_DIRECTORY,oso,nounspace,nounspace,GITHUB,4,2024-05-15 22:43:38+00:00,2024-09-16 16:47:37+00:00,12,11,13.0,13.0,13.0,0.15217391304347827,7.0,356.0,375.0,289.0,68.0,47.0
k5ip2ng8cFp1NCCK9GmxeHKrGnciiE2JUd0uD8Fffb8=,OSS_DIRECTORY,oso,lexdao,LexDAO,GITHUB,157,2019-10-15 18:57:26+00:00,2024-09-15 16:03:04+00:00,795,281,72.0,14.0,5.0,0.7717391304347826,9.0,468.0,50.0,40.0,9.0,1.0
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,OSS_DIRECTORY,oso,glo-foundation,Glo Dollar,GITHUB,4,2023-05-05 11:04:46+00:00,2024-09-09 12:34:10+00:00,5,1,8.0,2.0,0.0,0.0,1.0,124.0,23.0,23.0,0.0,5.0
lxtxbfDiol39PJ9dUNdHgXsPXh5GuqopuMmFgpBhoSY=,OSS_DIRECTORY,oso,tx-city,Txcity,GITHUB,1,2024-05-27 04:29:11+00:00,2024-09-14 11:08:09+00:00,0,0,2.0,2.0,2.0,0.0,1.0,30.0,13.0,14.0,0.0,0.0
nrUvwEvqgKNf1rtrqH51-LxtwsMR79X2ujTiHwL1dU0=,OSS_DIRECTORY,oso,circuitscan,Circuitscan,GITHUB,7,2024-03-30 08:50:26+00:00,2024-09-16 04:08:54+00:00,3,1,2.0,2.0,2.0,0.7336956521739131,1.0,274.0,0.0,0.0,8.0,6.0
DjpM-8SbQHY0eR1ukwVJlH3qSXmNDX2KAbuKSJGDarc=,OSS_DIRECTORY,oso,peeramid-labs,Multipass,GITHUB,5,2023-11-07 11:00:25+00:00,2024-09-11 12:17:52+00:00,6,1,3.0,3.0,1.0,0.0,1.0,137.0,40.0,31.0,5.0,7.0
rrqUDy2n7xxF-Ese7VHsfoT9GqaThYKWoLtPyZBQCxw=,OSS_DIRECTORY,oso,greenpill-dev-guild,Greenpill Dev Guild,GITHUB,10,2023-12-12 18:41:55+00:00,2024-09-15 23:05:23+00:00,14,5,7.0,6.0,3.0,0.010869565217391304,1.0,96.0,33.0,26.0,172.0,123.0
e4U-zfLMZyGc-qgu0hoM3zB1i4O2K68ER8BGAnj23CI=,OSS_DIRECTORY,oso,basket-swap-stylus-teeeeeo9,BasketSwap,GITHUB,1,2024-08-09 09:26:58+00:00,2024-08-09 10:02:28+00:00,0,0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
bIhvfQDbWlDfFzxYDZ6JHUtKnvaBPd-psUGQ83puWT8=,OSS_DIRECTORY,oso,collabberry,Collabberry,GITHUB,3,2024-07-17 22:07:41+00:00,2024-08-02 14:50:23+00:00,4,1,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
